Comment,Designator,Footprint,JLCPCB Part #（optional）
Si5351A-B-GTR,U3,MSOP10,
KXO-TCXO-CMOS-84,TCXO0,3.2X2.5_KXO-84-TCXO,
1uF 0603,"C2,C1",C0603K,
AVR_SPI_PRG_6PTH,ISP0,2X3,
ATMEGA328P-MU,U4,QFN50P500X500X100-33N,
UBLOX_MAX,U$2,UBLOX_MAX,
RESONATOR-SMD-4.5X2.0,Y1,RESONATOR-SMD-4.5X2.0,
R-EU_R0603,"PU2,PU1",R0603,
