Designator,Mid X,Mid Y,Layer,Rotation
C1,148.0011,-95.8036,top,90
C2,149.8011,-104.8036,top,90
ISP0,147.3705,-112.1102,top,180
PU1,151.7011,-103.0036,top,-90
PU2,151.7011,-99.1036,top,90
TCXO0,152.4011,-95.8036,top,0
U3,154.391,-103.0052,top,180
U4,146.1011,-100.9036,top,-90
Y1,144.2011,-95.6036,top,0
